target_velocity,r,random_seed
[0.],367.7899852492381,5250
[0.00050005],371.83838728560085,5250
[0.0010001],368.5733714900543,5250
[0.00150015],367.15775151687455,5250
[0.0020002],370.041255297838,5250
[0.00250025],367.76156402629243,5250
[0.0030003],368.05412608304516,5250
[0.00350035],370.3222710553604,5250
[0.0040004],368.3174263392318,5250
[0.00450045],365.365054761247,5250
[0.0050005],368.89394834571135,5250
[0.00550055],367.7492902245847,5250
[0.0060006],367.0266172096217,5250
[0.00650065],366.3501261354058,5250
[0.0070007],362.64281489298855,5250
[0.00750075],367.18670867250006,5250
[0.0080008],363.22562408961335,5250
[0.00850085],364.26465704738274,5250
[0.0090009],360.0793435629224,5250
[0.00950095],364.1209525679332,5250
[0.010001],366.70606074732586,5250
[0.01050105],365.0991403037206,5250
[0.0110011],366.8927209683388,5250
[0.01150115],363.9610224600322,5250
[0.0120012],363.9525540343151,5250
[0.01250125],365.03969365502473,5250
[0.0130013],361.94005333291693,5250
[0.01350135],363.6957740083486,5250
[0.0140014],365.12482054934253,5250
[0.01450145],365.79042997912995,5250
[0.0150015],360.9689990930959,5250
[0.01550155],359.85696720540835,5250
[0.0160016],359.9800684277243,5250
[0.01650165],362.4860406357041,5250
[0.0170017],366.5026509379518,5250
[0.01750175],358.6401478522631,5250
[0.0180018],362.19797283441346,5250
[0.01850185],364.473562742766,5250
[0.0190019],361.0397585509988,5250
[0.01950195],362.70222729801355,5250
[0.020002],358.53806924204093,5250
[0.02050205],360.4881567552456,5250
[0.0210021],360.54454173632803,5250
[0.02150215],362.7671680249809,5250
[0.0220022],360.10008050302497,5250
[0.02250225],360.45673099091255,5250
[0.0230023],356.03929357463625,5250
[0.02350235],360.2548019065448,5250
[0.0240024],362.71064284026613,5250
[0.02450245],359.9657097927567,5250
[0.0250025],359.44136529311766,5250
[0.02550255],364.0916285616437,5250
[0.0260026],357.51998945263273,5250
[0.02650265],357.0471225215751,5250
[0.0270027],360.9481676507382,5250
[0.02750275],358.83567403383347,5250
[0.0280028],357.76981404980523,5250
[0.02850285],357.5730079565621,5250
[0.0290029],359.92905743832245,5250
[0.02950295],355.6202030560288,5250
[0.030003],360.1814614767132,5250
