target_velocity,r,random_seed
[0.],379.8445897022435,5073
[0.00030003],373.2814119089366,5073
[0.00060006],375.56077360753903,5073
[0.00090009],375.41081557213374,5073
[0.00120012],378.4632472749197,5073
[0.00150015],376.5591191554801,5073
[0.00180018],374.8850272680425,5073
[0.00210021],375.6458828606662,5073
[0.00240024],377.52882101284905,5073
[0.00270027],376.3782896070998,5073
[0.0030003],374.67713485166297,5073
[0.00330033],377.0810810222311,5073
[0.00360036],374.26431726639686,5073
[0.00390039],376.6127830047335,5073
[0.00420042],376.185785298839,5073
[0.00450045],374.34447374699073,5073
[0.00480048],374.3411583688305,5073
[0.00510051],374.14630377799307,5073
[0.00540054],374.28763381736707,5073
[0.00570057],373.65021899756636,5073
[0.0060006],375.49710902248376,5073
[0.00630063],371.90171859347214,5073
[0.00660066],376.52228115931433,5073
[0.00690069],374.40529216649577,5073
[0.00720072],375.97420140324,5073
[0.00750075],372.69578173750386,5073
[0.00780078],372.19427416971575,5073
[0.00810081],372.4586336377282,5073
[0.00840084],373.8069971173321,5073
[0.00870087],372.31096291660486,5073
[0.0090009],369.99509313369657,5073
[0.00930093],373.8172522183351,5073
[0.00960096],370.2901072667362,5073
[0.00990099],377.40946325595763,5073
[0.01020102],370.9609475921879,5073
[0.01050105],374.4527426885459,5073
[0.01080108],370.40301761719013,5073
[0.01110111],372.38054932449364,5073
[0.01140114],373.4113984164085,5073
[0.01170117],375.0699861484792,5073
[0.0120012],367.56758401731827,5073
[0.01230123],371.2704234875222,5073
[0.01260126],370.206386875455,5073
[0.01290129],372.0951295370205,5073
[0.01320132],372.38280934282886,5073
[0.01350135],368.9989383770681,5073
[0.01380138],371.2467970433667,5073
[0.01410141],369.0343787249653,5073
[0.01440144],373.78755196345946,5073
[0.01470147],370.8572026095774,5073
[0.0150015],368.1102293948201,5073
[0.01530153],372.5505491925345,5073
[0.01560156],367.19320067661704,5073
[0.01590159],370.09822722486825,5073
[0.01620162],375.3427487792517,5073
[0.01650165],374.75719019819826,5073
[0.01680168],371.08271837760657,5073
[0.01710171],371.4286468257912,5073
[0.01740174],370.25189662022115,5073
[0.01770177],369.4686231980619,5073
[0.0180018],370.8806613345935,5073
[0.01830183],363.3706246525093,5073
[0.01860186],369.6647098037024,5073
[0.01890189],367.0279989652695,5073
[0.01920192],370.0698652890152,5073
[0.01950195],374.2314995831534,5073
[0.01980198],369.4067336618454,5073
[0.02010201],373.4708598027286,5073
[0.02040204],369.9262034178737,5073
[0.02070207],363.36147716873165,5073
[0.0210021],368.5782930908676,5073
[0.02130213],368.8547172046972,5073
[0.02160216],366.94344689994824,5073
[0.02190219],373.2552210083101,5073
[0.02220222],369.0897883847271,5073
[0.02250225],368.89349139139165,5073
[0.02280228],369.2751577790485,5073
[0.02310231],368.6453042246976,5073
[0.02340234],369.1473444215236,5073
[0.02370237],366.43162664094814,5073
[0.0240024],369.6737290641116,5073
[0.02430243],365.878763612846,5073
[0.02460246],367.3433440012459,5073
[0.02490249],367.01907800490324,5073
[0.02520252],372.66443656614024,5073
[0.02550255],367.03595328815396,5073
[0.02580258],365.76606430639583,5073
[0.02610261],367.1876045039345,5073
