x_position,y_position,r,random_seed
-3.0,-3.0,-187.92031838838972,2878
-3.0,-2.9393939393939394,-181.11834352430563,2878
-3.0,-2.878787878787879,-166.6888117256539,2878
-3.0,-2.8181818181818183,-165.36221766412837,2878
-3.0,-2.757575757575758,-161.09665338023123,2878
-3.0,-2.696969696969697,-165.84141796907483,2878
-3.0,-2.6363636363636362,-162.01965698548688,2878
-3.0,-2.5757575757575757,-156.19958945935227,2878
-3.0,-2.515151515151515,-177.6294018297586,2878
-3.0,-2.4545454545454546,-254.07071571216704,2878
-3.0,-2.393939393939394,-200.47592816980776,2878
-3.0,-2.333333333333333,-150.11052977864082,2878
-3.0,-2.2727272727272725,-148.4181879011594,2878
-3.0,-2.212121212121212,-150.61576480958422,2878
-3.0,-2.1515151515151514,-143.4354277338763,2878
-3.0,-2.090909090909091,-204.02004925165915,2878
-3.0,-2.0303030303030303,-189.3974329995198,2878
-3.0,-1.9696969696969697,-231.6536621488457,2878
-3.0,-1.9090909090909092,-142.06650325691902,2878
-3.0,-1.8484848484848484,-140.03118164055905,2878
-3.0,-1.7878787878787878,-148.95424184904638,2878
-3.0,-1.7272727272727273,-186.84828054884164,2878
-3.0,-1.6666666666666665,-143.6684474639126,2878
-3.0,-1.606060606060606,-265.4977814420152,2878
-3.0,-1.5454545454545454,-134.00980893286035,2878
-3.0,-1.4848484848484849,-133.30244721279635,2878
-3.0,-1.4242424242424243,-173.61519362399986,2878
-3.0,-1.3636363636363635,-134.24320308165133,2878
-3.0,-1.303030303030303,-132.7378625517677,2878
-3.0,-1.2424242424242424,-129.04356074457405,2878
-3.0,-1.1818181818181817,-171.48766819416994,2878
-3.0,-1.121212121212121,-129.79727677921653,2878
-3.0,-1.0606060606060606,-132.08010573010338,2878
-3.0,-1.0,-506.71468858353995,2878
-3.0,-0.9393939393939394,-129.47219065765765,2878
-3.0,-0.8787878787878789,-127.37150017284951,2878
-3.0,-0.8181818181818183,-125.48516092518376,2878
-3.0,-0.7575757575757573,-168.39216684248623,2878
-3.0,-0.6969696969696968,-172.7746772190765,2878
-3.0,-0.6363636363636362,-127.19531514270525,2878
-3.0,-0.5757575757575757,-126.65741119126837,2878
-3.0,-0.5151515151515151,-129.03990951761452,2878
-3.0,-0.4545454545454546,-126.90804491196116,2878
-3.0,-0.39393939393939403,-127.79201053724171,2878
-3.0,-0.33333333333333304,-131.57051172827516,2878
-3.0,-0.2727272727272725,-131.4002337025452,2878
-3.0,-0.21212121212121193,-127.67652601994943,2878
-3.0,-0.15151515151515138,-125.76648295974977,2878
-3.0,-0.09090909090909083,-132.44823454272762,2878
-3.0,-0.030303030303030276,-167.0826803701315,2878
-3.0,0.030303030303030276,-131.39357784544495,2878
-3.0,0.09090909090909083,-127.09073288694667,2878
-3.0,0.15151515151515138,-169.48660867314328,2878
-3.0,0.21212121212121238,-128.05722349480212,2878
-3.0,0.27272727272727293,-126.58356418983165,2878
-3.0,0.3333333333333335,-125.02194688507551,2878
-3.0,0.39393939393939403,-598.7092991350182,2878
-3.0,0.4545454545454546,-126.92681180416845,2878
-3.0,0.5151515151515151,-126.19223336197388,2878
-3.0,0.5757575757575757,-172.37344078442501,2878
-3.0,0.6363636363636367,-167.14135556148992,2878
-3.0,0.6969696969696972,-131.02352294036368,2878
-3.0,0.7575757575757578,-128.05829287502297,2878
-3.0,0.8181818181818183,-130.56726698833575,2878
-3.0,0.8787878787878789,-134.5498837034542,2878
-3.0,0.9393939393939394,-127.44819474092853,2878
-3.0,1.0,-608.0609827000798,2878
-3.0,1.0606060606060606,-138.89731445007448,2878
-3.0,1.121212121212121,-127.9563660757083,2878
-3.0,1.1818181818181817,-127.69101787410764,2878
-3.0,1.2424242424242422,-127.66366156377619,2878
-3.0,1.3030303030303028,-175.81881337821207,2878
-3.0,1.3636363636363633,-127.27070256695325,2878
-3.0,1.4242424242424248,-127.35928663744198,2878
-3.0,1.4848484848484853,-133.88626908209469,2878
-3.0,1.5454545454545459,-173.8827109357225,2878
-3.0,1.6060606060606064,-220.7062051398541,2878
-3.0,1.666666666666667,-131.7079581272618,2878
-3.0,1.7272727272727275,-144.02757170747677,2878
-3.0,1.787878787878788,-132.4525033844837,2878
-3.0,1.8484848484848486,-133.11311203550878,2878
-3.0,1.9090909090909092,-137.4494578648747,2878
-3.0,1.9696969696969697,-133.79092002554182,2878
-3.0,2.0303030303030303,-137.22186418836606,2878
-3.0,2.090909090909091,-138.69405953638562,2878
-3.0,2.1515151515151514,-141.41538194670585,2878
-3.0,2.212121212121212,-137.07833172734766,2878
-3.0,2.2727272727272725,-137.7478958241044,2878
-3.0,2.333333333333334,-187.56450973268846,2878
-3.0,2.3939393939393945,-191.99765007444262,2878
-3.0,2.454545454545455,-143.57241938816094,2878
-3.0,2.5151515151515156,-145.56021194452254,2878
-3.0,2.575757575757576,-147.26384046929812,2878
-3.0,2.6363636363636367,-147.22463787736356,2878
