x_position,y_position,r,random_seed
-3.0,1.4242424242424248,-127.35928663744198,5250
-3.0,1.4848484848484853,-133.88626908209469,5250
-3.0,1.5454545454545459,-173.8827109357225,5250
-3.0,1.6060606060606064,-220.7062051398541,5250
-3.0,1.666666666666667,-131.7079581272618,5250
-3.0,1.7272727272727275,-144.02757170747677,5250
-3.0,1.787878787878788,-132.4525033844837,5250
-3.0,1.8484848484848486,-133.11311203550878,5250
-3.0,1.9090909090909092,-137.4494578648747,5250
-3.0,1.9696969696969697,-133.79092002554182,5250
-3.0,2.0303030303030303,-137.22186418836606,5250
-3.0,2.090909090909091,-138.69405953638562,5250
-3.0,2.1515151515151514,-141.41538194670585,5250
-3.0,2.212121212121212,-137.07833172734766,5250
-3.0,2.2727272727272725,-137.7478958241044,5250
-3.0,2.333333333333334,-187.56450973268846,5250
-3.0,2.3939393939393945,-191.99765007444262,5250
-3.0,2.454545454545455,-143.57241938816094,5250
-3.0,2.5151515151515156,-145.56021194452254,5250
-3.0,2.575757575757576,-147.26384046929812,5250
-3.0,2.6363636363636367,-147.22463787736356,5250
-3.0,2.6969696969696972,-155.89414148521206,5250
-3.0,2.757575757575758,-163.88267480973292,5250
-3.0,2.8181818181818183,-152.28684957072943,5250
-3.0,2.878787878787879,-163.05486100199445,5250
-3.0,2.9393939393939394,-160.48272033739823,5250
-3.0,3.0,-346.95672324411464,5250
-2.9393939393939394,-3.0,-192.43416328040288,5250
-2.9393939393939394,-2.9393939393939394,-181.0250746190392,5250
-2.9393939393939394,-2.878787878787879,-161.2310565301285,5250
-2.9393939393939394,-2.8181818181818183,-165.84318060542176,5250
-2.9393939393939394,-2.757575757575758,-155.82038805062507,5250
-2.9393939393939394,-2.696969696969697,-155.50771333389687,5250
-2.9393939393939394,-2.6363636363636362,-151.5332508033047,5250
-2.9393939393939394,-2.5757575757575757,-167.32430262792082,5250
-2.9393939393939394,-2.515151515151515,-167.25260532519104,5250
-2.9393939393939394,-2.4545454545454546,-149.9354973076402,5250
-2.9393939393939394,-2.393939393939394,-145.8442902561281,5250
-2.9393939393939394,-2.333333333333333,-155.93077662972314,5250
-2.9393939393939394,-2.2727272727272725,-148.65483439668932,5250
-2.9393939393939394,-2.212121212121212,-142.5599678458284,5250
-2.9393939393939394,-2.1515151515151514,-142.47736602103333,5250
-2.9393939393939394,-2.090909090909091,-138.1590580772103,5250
-2.9393939393939394,-2.0303030303030303,-143.4207665730509,5250
-2.9393939393939394,-1.9696969696969697,-161.54363566206618,5250
-2.9393939393939394,-1.9090909090909092,-138.1377768662112,5250
-2.9393939393939394,-1.8484848484848484,-133.96031185679232,5250
-2.9393939393939394,-1.7878787878787878,-137.21122067727043,5250
-2.9393939393939394,-1.7272727272727273,-131.51206823176489,5250
-2.9393939393939394,-1.6666666666666665,-128.83834713410613,5250
-2.9393939393939394,-1.606060606060606,-128.75380889216882,5250
-2.9393939393939394,-1.5454545454545454,-126.8176904129924,5250
-2.9393939393939394,-1.4848484848484849,-126.84189010999474,5250
-2.9393939393939394,-1.4242424242424243,-125.8726591410844,5250
