x_position,y_position,r,random_seed
-5.0,-5.0,-2646.750357717511,2878
-5.0,-4.898989898989899,-2629.7248402923874,2878
-5.0,-4.797979797979798,-2612.8264240020544,2878
-5.0,-4.696969696969697,-2595.937082390395,2878
-5.0,-4.595959595959596,-2579.236841882714,2878
-5.0,-4.494949494949495,-2563.0022317466205,2878
-5.0,-4.393939393939394,-2546.9545930380723,2878
-5.0,-4.292929292929293,-2530.8858840379185,2878
-5.0,-4.191919191919192,-2514.883031508486,2878
-5.0,-4.090909090909091,-2498.8698518112005,2878
-5.0,-3.9898989898989896,-2482.9776300409967,2878
-5.0,-3.888888888888889,-2467.3827251813245,2878
-5.0,-3.787878787878788,-2452.381254285592,2878
-5.0,-3.686868686868687,-2437.880954929539,2878
-5.0,-3.5858585858585856,-2423.2979694979344,2878
-5.0,-3.484848484848485,-2408.660052413677,2878
-5.0,-3.383838383838384,-2394.3913823762946,2878
-5.0,-3.282828282828283,-2379.7596926573624,2878
-5.0,-3.1818181818181817,-2364.4300138715203,2878
-5.0,-3.080808080808081,-2348.8593863062065,2878
-5.0,-2.9797979797979797,-2333.63816921708,2878
-5.0,-2.878787878787879,-2318.6628612564305,2878
-5.0,-2.7777777777777777,-2301.9302993435213,2878
-5.0,-2.676767676767677,-2284.4054996852847,2878
-5.0,-2.5757575757575757,-2269.969275018628,2878
-5.0,-2.474747474747475,-2255.439937645949,2878
-5.0,-2.3737373737373737,-2241.9122721595845,2878
-5.0,-2.272727272727273,-2229.1765826975957,2878
-5.0,-2.1717171717171717,-2216.7832888917947,2878
-5.0,-2.070707070707071,-2204.1136535799515,2878
-5.0,-1.9696969696969697,-2192.3612478763926,2878
-5.0,-1.868686868686869,-2181.4281645011056,2878
-5.0,-1.7676767676767677,-2171.3971411239418,2878
-5.0,-1.6666666666666665,-2162.6595114748166,2878
-5.0,-1.5656565656565657,-2154.639035146066,2878
-5.0,-1.4646464646464645,-2147.3171220823815,2878
-5.0,-1.3636363636363638,-2140.757167414662,2878
-5.0,-1.2626262626262625,-2134.9260734596583,2878
-5.0,-1.1616161616161618,-2126.57562768574,2878
-5.0,-1.0606060606060606,-2118.6803548828684,2878
-5.0,-0.9595959595959593,-2113.4566840676116,2878
-5.0,-0.858585858585859,-2058.057817590082,2878
-5.0,-0.7575757575757578,-2054.0062605381977,2878
-5.0,-0.6565656565656566,-2055.811269855652,2878
-5.0,-0.5555555555555554,-2058.841231394907,2878
-5.0,-0.45454545454545503,-2057.6482422370377,2878
-5.0,-0.3535353535353538,-2061.997203572186,2878
-5.0,-0.2525252525252526,-2065.125381947824,2878
-5.0,-0.15151515151515138,-2072.1720292287464,2878
-5.0,-0.050505050505050164,-2078.9049095974633,2878
-5.0,0.050505050505050164,-2087.5101566444264,2878
-5.0,0.15151515151515138,-2131.857287338343,2878
-5.0,0.2525252525252526,-2153.9906687745597,2878
-5.0,0.3535353535353538,-2163.7276810213057,2878
-5.0,0.45454545454545414,-2174.1415647109607,2878
-5.0,0.5555555555555554,-2186.207084293706,2878
-5.0,0.6565656565656566,-2200.935699289848,2878
-5.0,0.7575757575757578,-2219.414427816552,2878
-5.0,0.8585858585858581,-2243.436700758826,2878
-5.0,0.9595959595959593,-2281.9939081641996,2878
-5.0,1.0606060606060606,-2364.6757437627316,2878
-5.0,1.1616161616161618,-2482.0295441519843,2878
-5.0,1.262626262626262,-2541.199988651765,2878
-5.0,1.3636363636363633,-2584.4156724261206,2878
-5.0,1.4646464646464645,-2631.7257480733497,2878
-5.0,1.5656565656565657,-2702.456715091411,2878
-5.0,1.666666666666667,-2884.019878736568,2878
-5.0,1.7676767676767673,-2973.1946752066224,2878
-5.0,1.8686868686868685,-3038.229212968935,2878
-5.0,1.9696969696969697,-3098.1168164031446,2878
-5.0,2.070707070707071,-3148.6656536685527,2878
-5.0,2.1717171717171713,-3197.600689351944,2878
-5.0,2.2727272727272725,-3250.724520492383,2878
-5.0,2.3737373737373737,-3298.2725799432706,2878
-5.0,2.474747474747475,-3337.188964203712,2878
