x_position,y_position,r,random_seed
-3.0,1.0606060606060606,-150.22824129033378,2878
-3.0,1.121212121212121,-156.39348331363547,2878
-3.0,1.1818181818181817,-196.18563989252078,2878
-3.0,1.2424242424242422,-153.69630463385658,2878
-3.0,1.3030303030303028,-157.23869320081917,2878
-3.0,1.3636363636363633,-242.99841192634656,2878
-3.0,1.4242424242424248,-200.72171563121884,2878
-3.0,1.4848484848484853,-168.45001416059952,2878
-3.0,1.5454545454545459,-213.57367299590786,2878
-3.0,1.6060606060606064,-216.66485969753455,2878
-3.0,1.666666666666667,-168.02138427947574,2878
-3.0,1.7272727272727275,-175.06250311299058,2878
-3.0,1.787878787878788,-173.44961941765447,2878
-3.0,1.8484848484848486,-220.59479888056097,2878
-3.0,1.9090909090909092,-168.91780572563877,2878
-3.0,1.9696969696969697,-178.81069987681656,2878
-3.0,2.0303030303030303,-190.98209880576402,2878
-3.0,2.090909090909091,-193.54504393386924,2878
-3.0,2.1515151515151514,-171.57697993473158,2878
-3.0,2.212121212121212,-237.82442768887515,2878
-3.0,2.2727272727272725,-180.4052992776147,2878
-3.0,2.333333333333334,-236.24053390898592,2878
-3.0,2.3939393939393945,-231.65750567975613,2878
-3.0,2.454545454545455,-191.38849996911642,2878
-3.0,2.5151515151515156,-192.52098031123487,2878
-3.0,2.575757575757576,-254.68273473233776,2878
-3.0,2.6363636363636367,-195.82854897685252,2878
-3.0,2.6969696969696972,-211.91573084356003,2878
-3.0,2.757575757575758,-210.82028646965503,2878
-3.0,2.8181818181818183,-210.45863704014369,2878
-3.0,2.878787878787879,-212.43340412612028,2878
-3.0,2.9393939393939394,-212.92825852832934,2878
-3.0,3.0,-847.7261252114683,2878
-2.9393939393939394,-3.0,-243.72744840513587,2878
-2.9393939393939394,-2.9393939393939394,-184.52364649438735,2878
-2.9393939393939394,-2.878787878787879,-234.921691431542,2878
-2.9393939393939394,-2.8181818181818183,-190.9688178825496,2878
-2.9393939393939394,-2.757575757575758,-185.6172207535213,2878
-2.9393939393939394,-2.696969696969697,-177.57477717233215,2878
-2.9393939393939394,-2.6363636363636362,-196.00830170325779,2878
-2.9393939393939394,-2.5757575757575757,-193.95127703490354,2878
-2.9393939393939394,-2.515151515151515,-194.30909956464544,2878
-2.9393939393939394,-2.4545454545454546,-244.75553735431032,2878
-2.9393939393939394,-2.393939393939394,-190.05907342399834,2878
-2.9393939393939394,-2.333333333333333,-180.90945163941092,2878
-2.9393939393939394,-2.2727272727272725,-197.83169167499545,2878
-2.9393939393939394,-2.212121212121212,-199.76511761723012,2878
-2.9393939393939394,-2.1515151515151514,-171.81296136958923,2878
-2.9393939393939394,-2.090909090909091,-247.89549989185588,2878
-2.9393939393939394,-2.0303030303030303,-175.92794044086992,2878
-2.9393939393939394,-1.9696969696969697,-220.18261005589852,2878
-2.9393939393939394,-1.9090909090909092,-167.56013911286118,2878
-2.9393939393939394,-1.8484848484848484,-175.23997757848906,2878
-2.9393939393939394,-1.7878787878787878,-172.15635012293652,2878
-2.9393939393939394,-1.7272727272727273,-207.15506052876384,2878
-2.9393939393939394,-1.6666666666666665,-159.5158632274767,2878
-2.9393939393939394,-1.606060606060606,-160.00149144042555,2878
-2.9393939393939394,-1.5454545454545454,-162.88229933334677,2878
-2.9393939393939394,-1.4848484848484849,-157.67704736947843,2878
-2.9393939393939394,-1.4242424242424243,-159.2358598731926,2878
-2.9393939393939394,-1.3636363636363635,-201.47807071761721,2878
-2.9393939393939394,-1.303030303030303,-148.93391042229374,2878
-2.9393939393939394,-1.2424242424242424,-147.2861120398957,2878
-2.9393939393939394,-1.1818181818181817,-145.89214850248135,2878
-2.9393939393939394,-1.121212121212121,-153.25015121080037,2878
-2.9393939393939394,-1.0606060606060606,-148.60964057591698,2878
-2.9393939393939394,-1.0,-153.90849401800023,2878
-2.9393939393939394,-0.9393939393939394,-143.6417822716284,2878
-2.9393939393939394,-0.8787878787878789,-185.74256607796974,2878
-2.9393939393939394,-0.8181818181818183,-157.13071174780964,2878
-2.9393939393939394,-0.7575757575757573,-147.612127093165,2878
-2.9393939393939394,-0.6969696969696968,-182.1242840242937,2878
-2.9393939393939394,-0.6363636363636362,-144.16270832272244,2878
-2.9393939393939394,-0.5757575757575757,-183.46461741493863,2878
