x_position,y_position,r,random_seed
-3.0,-3.0,-830.3477675058166,4420
-3.0,-2.9393939393939394,-184.51164541677932,4420
-3.0,-2.878787878787879,-241.78184622816818,4420
-3.0,-2.8181818181818183,-179.82991640483624,4420
-3.0,-2.757575757575758,-203.67821457393967,4420
-3.0,-2.696969696969697,-197.74196163890153,4420
-3.0,-2.6363636363636362,-180.29244183174347,4420
-3.0,-2.5757575757575757,-241.525451547621,4420
-3.0,-2.515151515151515,-170.47893821466053,4420
-3.0,-2.4545454545454546,-233.20666815624244,4420
-3.0,-2.393939393939394,-273.1987061759633,4420
-3.0,-2.333333333333333,-182.69587179508946,4420
-3.0,-2.2727272727272725,-187.99724806207854,4420
-3.0,-2.212121212121212,-174.7204585021893,4420
-3.0,-2.1515151515151514,-276.2761454190399,4420
-3.0,-2.090909090909091,-215.2558852163233,4420
-3.0,-2.0303030303030303,-176.71059211149554,4420
-3.0,-1.9696969696969697,-175.98036762933623,4420
-3.0,-1.9090909090909092,-167.6592442554758,4420
-3.0,-1.8484848484848484,-171.10070303213655,4420
-3.0,-1.7878787878787878,-161.73355122195548,4420
-3.0,-1.7272727272727273,-205.68378697182487,4420
-3.0,-1.6666666666666665,-162.02380835845506,4420
-3.0,-1.606060606060606,-383.17787575681245,4420
-3.0,-1.5454545454545454,-161.40545549372465,4420
-3.0,-1.4848484848484849,-164.3548353910293,4420
-3.0,-1.4242424242424243,-154.76104043437053,4420
-3.0,-1.3636363636363635,-150.92367749350066,4420
-3.0,-1.303030303030303,-194.24091398755468,4420
-3.0,-1.2424242424242424,-154.6608662725524,4420
-3.0,-1.1818181818181817,-160.00261045964595,4420
-3.0,-1.121212121212121,-189.5548682784377,4420
-3.0,-1.0606060606060606,-149.0831982505789,4420
-3.0,-1.0,-161.4905033904132,4420
-3.0,-0.9393939393939394,-156.39836975003658,4420
-3.0,-0.8787878787878789,-146.91154593478453,4420
-3.0,-0.8181818181818183,-313.1217055554413,4420
-3.0,-0.7575757575757573,-234.3682911101304,4420
-3.0,-0.6969696969696968,-189.31871196859498,4420
-3.0,-0.6363636363636362,-151.0483816822652,4420
-3.0,-0.5757575757575757,-148.45387405632206,4420
-3.0,-0.5151515151515151,-150.1038063687463,4420
-3.0,-0.4545454545454546,-231.11022293140118,4420
-3.0,-0.39393939393939403,-152.87811347983956,4420
-3.0,-0.33333333333333304,-189.61743197132097,4420
-3.0,-0.2727272727272725,-154.58661079972848,4420
