x_position,y_position,r,random_seed
-5.0,-5.0,-2914.822898056277,5073
-5.0,-4.898989898989899,-2883.3603706773606,5073
-5.0,-4.797979797979798,-2851.2037886866883,5073
-5.0,-4.696969696969697,-2818.3090932389614,5073
-5.0,-4.595959595959596,-2784.4126848407277,5073
-5.0,-4.494949494949495,-2749.933513484737,5073
-5.0,-4.393939393939394,-2713.8761707909252,5073
-5.0,-4.292929292929293,-2677.4733591232366,5073
-5.0,-4.191919191919192,-2638.851180681927,5073
-5.0,-4.090909090909091,-2600.3321942680705,5073
-5.0,-3.9898989898989896,-2560.0877614731908,5073
-5.0,-3.888888888888889,-2518.6560943059594,5073
-5.0,-3.787878787878788,-2477.361358073657,5073
-5.0,-3.686868686868687,-2436.414812723933,5073
-5.0,-3.5858585858585856,-2396.7171603753195,5073
-5.0,-3.484848484848485,-2359.514815071363,5073
-5.0,-3.383838383838384,-2323.2131066233524,5073
-5.0,-3.282828282828283,-2286.7134533082526,5073
-5.0,-3.1818181818181817,-2254.5869059506463,5073
-5.0,-3.080808080808081,-2224.1158809735866,5073
-5.0,-2.9797979797979797,-2194.879978604089,5073
-5.0,-2.878787878787879,-2167.9720030449407,5073
-5.0,-2.7777777777777777,-2138.6974059181025,5073
-5.0,-2.676767676767677,-2103.332021691071,5073
-5.0,-2.5757575757575757,-2072.109288446091,5073
-5.0,-2.474747474747475,-2040.1279560684593,5073
-5.0,-2.3737373737373737,-2008.727176459244,5073
-5.0,-2.272727272727273,-1985.8122238428982,5073
-5.0,-2.1717171717171717,-1934.941198614202,5073
-5.0,-2.070707070707071,-1921.1485265056388,5073
-5.0,-1.9696969696969697,-1764.396235288291,5073
-5.0,-1.868686868686869,-1882.9186735080295,5073
-5.0,-1.7676767676767677,-1778.93547984406,5073
-5.0,-1.6666666666666665,-1573.9502554165058,5073
-5.0,-1.5656565656565657,-1253.4907999161362,5073
-5.0,-1.4646464646464645,-1427.9264628889698,5073
-5.0,-1.3636363636363638,-1270.83616080869,5073
-5.0,-1.2626262626262625,-1124.723500576846,5073
-5.0,-1.1616161616161618,-1177.2248569200435,5073
-5.0,-1.0606060606060606,-1210.6394325187846,5073
-5.0,-0.9595959595959593,-1120.7248192436987,5073
-5.0,-0.858585858585859,-972.2351755420245,5073
-5.0,-0.7575757575757578,-1002.2374044506669,5073
-5.0,-0.6565656565656566,-1097.305493126929,5073
-5.0,-0.5555555555555554,-885.9969335478476,5073
-5.0,-0.45454545454545503,-925.8554024375853,5073
-5.0,-0.3535353535353538,-1106.5384969865054,5073
-5.0,-0.2525252525252526,-842.07052883626,5073
-5.0,-0.15151515151515138,-866.3702479965447,5073
-5.0,-0.050505050505050164,-762.173792744063,5073
-5.0,0.050505050505050164,-738.2266867760658,5073
-5.0,0.15151515151515138,-741.3381565528925,5073
-5.0,0.2525252525252526,-723.8382872920223,5073
-5.0,0.3535353535353538,-672.7028930455656,5073
-5.0,0.45454545454545414,-620.5528822071245,5073
