target_velocity,r,random_seed
[0.05],-26.25373013424956,5250
[0.07979798],-14.042429941784984,5250
[0.10959596],-44.92319640015558,5250
[0.13939394],-36.117261235459445,5250
[0.16919191],-14.833728756326915,5250
[0.1989899],-36.77705751414676,5250
[0.22878788],-23.038516569719334,5250
[0.25858587],-99.93789989609947,5250
[0.28838384],-37.46112949771245,5250
[0.3181818],-24.940928256672585,5250
[0.34797978],-11.819790462423052,5250
[0.37777779],-14.45829446420158,5250
[0.40757576],-15.60446206736207,5250
[0.43737373],-37.914342234460214,5250
[0.46717173],-37.09280626975971,5250
[0.4969697],-14.4616096183034,5250
[0.5267677],-33.00898699826187,5250
[0.55656564],-17.484898557246275,5250
[0.5863636],-39.21182463488825,5250
[0.61616164],-21.28794423182944,5250
[0.6459596],-14.118324297173247,5250
[0.6757576],-16.057376756706727,5250
[0.70555556],-14.544239008089006,5250
[0.7353535],-16.305719383209404,5250
[0.7651515],-16.5395113859226,5250
[0.7949495],-17.22655318809002,5250
[0.8247475],-15.708559758118454,5250
[0.8545455],-35.44395322841448,5250
[0.88434345],-15.002873601251068,5250
[0.9141414],-16.05475166173888,5250
[0.9439394],-17.25138037720771,5250
[0.97373736],-19.864720633635923,5250
[1.0035354],-19.264037808991414,5250
[1.0333333],-18.98173848270582,5250
[1.0631313],-23.16747844054858,5250
[1.0929292],-19.383094396637446,5250
[1.1227273],-23.599542986529464,5250
[1.1525253],-22.682953305713216,5250
[1.1823232],-22.839057851510024,5250
[1.2121212],-22.523098605264497,5250
[1.2419192],-26.65445997110396,5250
[1.2717172],-25.96987195522372,5250
[1.3015151],-24.709260495570543,5250
[1.3313131],-27.856503587935656,5250
[1.3611112],-29.074432582766626,5250
[1.3909091],-25.52383907153026,5250
[1.4207071],-27.519535767504394,5250
[1.450505],-29.89848296841819,5250
[1.480303],-31.48707627572382,5250
[1.510101],-31.21974509439,5250
[1.539899],-28.40883454087539,5250
[1.569697],-27.596126214966134,5250
[1.5994949],-29.79645234978745,5250
[1.629293],-31.35125388701872,5250
[1.6590909],-31.81604229899498,5250
[1.6888889],-31.531739609165495,5250
[1.7186868],-34.19474698969967,5250
[1.7484848],-35.773955102291424,5250
[1.7782829],-34.131581946646335,5250
[1.8080808],-43.44549755365465,5250
[1.8378788],-60.214523402958356,5250
[1.8676767],-48.62835163456363,5250
[1.8974748],-35.882676401877234,5250
[1.9272727],-35.88712165985931,5250
[1.9570707],-43.58157802212664,5250
[1.9868687],-41.6913916379863,5250
[2.0166667],-48.101832394004816,5250
[2.0464647],-40.61366163833578,5250
[2.0762627],-42.22230127915126,5250
[2.1060605],-43.883569150144766,5250
[2.1358585],-45.04281320244547,5250
[2.1656566],-51.21351291218917,5250
[2.1954546],-42.51469711756023,5250
[2.2252526],-51.737820316236245,5250
[2.2550504],-52.11713387762426,5250
[2.2848485],-49.70721921617601,5250
[2.3146465],-56.36371471116374,5250
[2.3444445],-49.69660813375554,5250
[2.3742423],-55.91017327573723,5250
[2.4040403],-52.56567814611635,5250
[2.4338384],-61.4380232909559,5250
[2.4636364],-54.74164413984698,5250
[2.4934344],-57.2394747456379,5250
[2.5232322],-57.732132384894605,5250
[2.5530303],-59.17938027114203,5250
[2.5828283],-61.73282136250897,5250
[2.6126263],-71.00426753184938,5250
[2.6424243],-63.33843498951136,5250
[2.6722221],-68.78930236152931,5250
[2.7020202],-99.2962927740447,5250
[2.7318182],-67.66958641261773,5250
[2.7616162],-65.9631785054538,5250
[2.791414],-71.04689498485183,5250
[2.821212],-96.17355070705246,5250
[2.85101],-73.3468139780142,5250
[2.880808],-77.38918248257852,5250
[2.9106061],-87.11898136554566,5250
[2.940404],-76.05273752770906,5250
[2.970202],-77.76117968808484,5250
[3.],-83.2653555566162,5250
[2.2848485],-48.25157169673252,5250
[2.3146465],-47.55108394557896,5250
[2.3444445],-58.17201481676838,5250
[2.3742423],-56.867745056794206,5250
[2.4040403],-53.63576828098287,5250
[2.4338384],-55.80874687016425,5250
[2.4636364],-59.78579582721389,5250
[2.4934344],-57.50108506954065,5250
[2.5232322],-61.973329150367256,5250
[2.5530303],-62.783973637882596,5250
[2.5828283],-55.84455064428949,5250
[2.6126263],-65.20731638799438,5250
[2.6424243],-76.75707847111346,5250
[2.6722221],-67.69721830915341,5250
[2.7020202],-65.25543495034934,5250
[2.7318182],-64.93531711789485,5250
[2.7616162],-75.68584756734116,5250
[2.791414],-70.68744699647164,5250
[2.821212],-72.14703907259215,5250
[2.85101],-83.6694620929049,5250
[2.880808],-78.04212843786705,5250
[2.9106061],-82.82393543320673,5250
[2.940404],-79.0591062648676,5250
[2.970202],-79.35599302143166,5250
[3.],-82.07932754949961,5250
[2.2848485],-53.7686711284296,5250
[2.3146465],-49.31336272294702,5250
[2.3444445],-52.382023191324194,5250
[2.3742423],-54.335641431278106,5250
[2.4040403],-51.35425950635658,5250
[2.4338384],-54.847188851658906,5250
[2.4636364],-56.142541072161166,5250
[2.4934344],-60.618118104008495,5250
[2.5232322],-64.3101443732962,5250
[2.5530303],-58.196708224143144,5250
[2.5828283],-60.052527651424974,5250
[2.6126263],-62.86060649688335,5250
[2.6424243],-64.76839517515867,5250
[2.6722221],-65.9347889356969,5250
