target_velocity,r,random_seed
[0.05],-20.300761622757257,2878
[0.07979798],-43.13793411546882,2878
[0.10959596],-15.330933005202716,2878
[0.13939394],-43.08438712372064,2878
[0.16919191],-18.006768364451986,2878
[0.1989899],-18.548463099059468,2878
[0.22878788],-49.94365629082181,2878
[0.25858587],-10.823775418305102,2878
[0.28838384],-22.158944907304278,2878
[0.3181818],-29.512141569324367,2878
[0.34797978],-30.55457243244466,2878
[0.37777779],-32.64230431937342,2878
[0.40757576],-37.303218112154035,2878
[0.43737373],-14.480686956140946,2878
[0.46717173],-15.452354079094299,2878
[0.4969697],-20.0682517746262,2878
[0.5267677],-25.769404084506093,2878
[0.55656564],-19.08378474383951,2878
[0.5863636],-20.458905349823475,2878
[0.61616164],-45.58106621492495,2878
[0.6459596],-15.959072323906895,2878
[0.6757576],-17.443800322868874,2878
[0.70555556],-20.046824843127077,2878
[0.7353535],-15.798809799066978,2878
[0.7651515],-16.25265223578519,2878
[0.7949495],-15.310814101605429,2878
[0.8247475],-16.270422261293657,2878
[0.8545455],-17.637462490075066,2878
[0.88434345],-16.240264616336038,2878
[0.9141414],-17.7705494796988,2878
[0.9439394],-18.366875315261694,2878
[0.97373736],-17.39892195866044,2878
[1.0035354],-23.877035664958377,2878
[1.0333333],-18.626850844130967,2878
[1.0631313],-17.90307032406326,2878
[1.0929292],-20.720261578650785,2878
[1.1227273],-24.04853527215279,2878
[1.1525253],-18.568916888856688,2878
[1.1823232],-22.265183307234814,2878
[1.2121212],-22.260871119167657,2878
[1.2419192],-27.139005453674457,2878
[1.2717172],-27.714115121602635,2878
[1.3015151],-27.604316891197588,2878
[1.3313131],-26.62609171813351,2878
[1.3611112],-25.140202519309575,2878
[1.3909091],-28.3820544298152,2878
[1.4207071],-25.07367747985936,2878
[1.450505],-36.06281808617292,2878
[1.480303],-28.982256341299756,2878
[1.510101],-34.624150783151265,2878
[1.539899],-40.540031844722066,2878
[1.569697],-31.79204772886607,2878
[1.5994949],-35.73893374283915,2878
[1.629293],-32.64804073722801,2878
[1.6590909],-38.21744921622827,2878
[1.6888889],-32.272497661863525,2878
[1.7186868],-33.64701906459235,2878
[1.7484848],-35.479956005345564,2878
[1.7782829],-38.55318360113516,2878
[1.8080808],-37.33948485065989,2878
[1.8378788],-35.068364054718,2878
[1.8676767],-37.429870561822426,2878
[1.8974748],-37.440438501950865,2878
[1.9272727],-40.69375559650614,2878
[1.9570707],-43.267466045676414,2878
[1.9868687],-40.3571500620154,2878
[2.0166667],-41.4538914501216,2878
[2.0464647],-41.29868010819572,2878
[2.0762627],-48.08856516241527,2878
[2.1060605],-44.55849468993918,2878
[2.1358585],-50.247172402701814,2878
[2.1656566],-53.22359433213565,2878
[2.1954546],-52.21272649822753,2878
[2.2252526],-52.024742280674666,2878
[2.2550504],-49.08646607932934,2878
[2.2848485],-46.760518102512215,2878
[2.3146465],-50.61865988718642,2878
[2.3444445],-51.116614214843715,2878
[2.3742423],-58.18255656427008,2878
[2.4040403],-53.536029350332605,2878
[2.4338384],-55.48352387049567,2878
[2.4636364],-54.758479741868996,2878
[2.4934344],-60.27409266925468,2878
[2.5232322],-57.75820896570906,2878
[2.5530303],-61.421094433076306,2878
[2.5828283],-58.806439738699936,2878
[2.6126263],-69.82782870070062,2878
[2.6424243],-65.23389399581626,2878
[2.6722221],-65.14877531519683,2878
[2.7020202],-66.91698919701255,2878
[2.7318182],-66.7351170511315,2878
[2.7616162],-71.48366739091526,2878
[2.791414],-71.67934753948934,2878
[2.821212],-68.77584030583425,2878
[2.85101],-72.27635398538278,2878
[2.880808],-76.26684762587216,2878
[2.9106061],-75.53561880355966,2878
[2.940404],-80.65143062327681,2878
[2.970202],-86.4998369300028,2878
[3.],-86.0974000146634,2878
[2.2848485],-46.980147662891035,2878
[2.3146465],-54.719593596052796,2878
[2.3444445],-50.7928030134938,2878
[2.3742423],-53.070449529236434,2878
[2.4040403],-51.5860704806517,2878
[2.4338384],-54.33391547580091,2878
[2.4636364],-57.38560237351639,2878
[2.4934344],-62.22245339473005,2878
[2.5232322],-63.50050280010101,2878
[2.5530303],-66.86197924365742,2878
[2.5828283],-57.999550556811315,2878
[2.6126263],-62.25593896215709,2878
[2.6424243],-62.37394228488823,2878
[2.6722221],-63.79765149655967,2878
[2.7020202],-66.60075581150365,2878
[2.7318182],-67.63363671148444,2878
[2.7616162],-72.12733133828777,2878
[2.791414],-70.71546589950586,2878
[2.821212],-78.80447807537496,2878
[2.85101],-79.78116803254989,2878
[2.880808],-71.89864889074113,2878
[2.9106061],-78.87503553430714,2878
[2.940404],-89.01710484857547,2878
[2.970202],-94.95851877766313,2878
[3.],-89.11600687577457,2878
