target_velocity,r,random_seed
[0.05],-29.777701885164532,4420
[0.07979798],-12.32955788641904,4420
[0.10959596],-12.854336514553339,4420
[0.13939394],-19.45767147530946,4420
[0.16919191],-43.15005350085472,4420
[0.1989899],-17.321127278791046,4420
[0.22878788],-10.777961092122654,4420
[0.25858587],-10.40939819434171,4420
[0.28838384],-19.914136721150392,4420
[0.3181818],-26.18354568601744,4420
[0.34797978],-28.325490406129916,4420
[0.37777779],-19.953872702285956,4420
[0.40757576],-13.165609318343842,4420
[0.43737373],-16.834601060348998,4420
[0.46717173],-41.99312847679245,4420
[0.4969697],-36.06081541677209,4420
[0.5267677],-18.27118754379641,4420
[0.55656564],-15.821770529872657,4420
[0.5863636],-33.260323784078125,4420
[0.61616164],-28.683009117225826,4420
[0.6459596],-19.394110856751226,4420
[0.6757576],-16.484423737152525,4420
[0.70555556],-17.256655632249746,4420
[0.7353535],-15.020867491668414,4420
[0.7651515],-16.734062565804308,4420
[0.7949495],-18.191297599050557,4420
[0.8247475],-15.19125191844538,4420
[0.8545455],-16.056167103130853,4420
[0.88434345],-17.339458546939966,4420
[0.9141414],-17.35932323556959,4420
[0.9439394],-20.497401365260277,4420
[0.97373736],-17.92760521950911,4420
[1.0035354],-17.352298054262516,4420
[1.0333333],-21.287430309662376,4420
[1.0631313],-21.295618261958495,4420
[1.0929292],-20.399258156370372,4420
[1.1227273],-18.370369824442452,4420
[1.1525253],-22.48688198429136,4420
[1.1823232],-27.25736845793751,4420
[1.2121212],-25.86198321121134,4420
[1.2419192],-24.061564886754375,4420
[1.2717172],-23.581614002664224,4420
[1.3015151],-23.810114773815425,4420
[1.3313131],-29.222863019229358,4420
[1.3611112],-27.41505843467713,4420
[1.3909091],-28.750880259317352,4420
[1.4207071],-26.70978672558957,4420
[1.450505],-31.4351859974236,4420
[1.480303],-28.2674808761332,4420
[1.510101],-31.31721261447322,4420
[1.539899],-29.381941778736405,4420
[1.569697],-30.761800152147437,4420
[1.5994949],-35.66603398177071,4420
[1.629293],-30.010317377841638,4420
[1.6590909],-34.33367514112186,4420
[1.6888889],-33.60677168844868,4420
[1.7186868],-30.8048417067589,4420
[1.7484848],-35.83531681574154,4420
[1.7782829],-41.59846925025285,4420
[1.8080808],-39.408305669611146,4420
[1.8378788],-47.102192654741536,4420
[1.8676767],-37.37448464055282,4420
[1.8974748],-46.60508031727855,4420
[1.9272727],-38.33957628695859,4420
[1.9570707],-38.33366278682957,4420
[1.9868687],-42.417049730167996,4420
[2.0166667],-42.69075148780863,4420
[2.0464647],-45.505230625952464,4420
[2.0762627],-50.927163851698,4420
[2.1060605],-55.06979092459699,4420
[2.1358585],-49.52736370397884,4420
[2.1656566],-48.67583916219766,4420
[2.1954546],-48.763119345740094,4420
[2.2252526],-48.05893303997696,4420
