target_velocity,r,random_seed
[0.05],-32.93264232546008,5073
[0.07979798],-28.07205814800571,5073
[0.10959596],-10.61412853975071,5073
[0.13939394],-14.074481896792847,5073
[0.16919191],-40.47909470591381,5073
[0.1989899],-11.208386859720484,5073
[0.22878788],-20.460449015996772,5073
[0.25858587],-44.96135931979126,5073
[0.28838384],-28.342390879518458,5073
[0.3181818],-11.376043354855447,5073
[0.34797978],-11.519858949789885,5073
[0.37777779],-22.406438471763778,5073
[0.40757576],-24.010047144019524,5073
[0.43737373],-15.56482534015688,5073
[0.46717173],-18.109200611007452,5073
[0.4969697],-42.986574855224745,5073
[0.5267677],-22.649338348867076,5073
[0.55656564],-14.951705354575047,5073
[0.5863636],-15.581498900810187,5073
[0.61616164],-16.643231197408863,5073
[0.6459596],-20.377747152803344,5073
[0.6757576],-21.791969257936827,5073
[0.70555556],-20.818457004153128,5073
[0.7353535],-14.415347514986236,5073
[0.7651515],-18.829517738836117,5073
[0.7949495],-14.365459964368926,5073
[0.8247475],-15.724638025222093,5073
[0.8545455],-14.586768202813154,5073
[0.88434345],-17.543973411135816,5073
[0.9141414],-17.371519405130165,5073
[0.9439394],-18.46184189409941,5073
[0.97373736],-18.59418305505882,5073
[1.0035354],-18.178113114089324,5073
[1.0333333],-18.431441700773888,5073
[1.0631313],-22.43439057506427,5073
[1.0929292],-20.53224392154258,5073
[1.1227273],-21.276879590168722,5073
[1.1525253],-25.66290901414449,5073
[1.1823232],-22.318850077732346,5073
[1.2121212],-26.605937379389754,5073
[1.2419192],-29.20201922233525,5073
[1.2717172],-22.94436606584324,5073
[1.3015151],-25.687153500742102,5073
[1.3313131],-31.31306987970353,5073
[1.3611112],-25.89472208809757,5073
[1.3909091],-25.958996264658012,5073
[1.4207071],-25.184224139362083,5073
[1.450505],-28.341655528448594,5073
[1.480303],-28.789150886026334,5073
[1.510101],-29.79460557350886,5073
[1.539899],-30.325233397873316,5073
[1.569697],-28.3823380632225,5073
[1.5994949],-33.7810294859765,5073
[1.629293],-34.06076065502,5073
[1.6590909],-62.63369713311306,5073
[1.6888889],-36.90049518807946,5073
[1.7186868],-35.91809873816494,5073
[1.7484848],-33.48781995012015,5073
[1.7782829],-34.66124654223764,5073
[1.8080808],-36.70881436609713,5073
[1.8378788],-41.189857390446946,5073
[1.8676767],-36.63492130412724,5073
[1.8974748],-37.082445823359606,5073
[1.9272727],-37.06663147934093,5073
[1.9570707],-45.61976714796972,5073
[1.9868687],-49.836425837668486,5073
[2.0166667],-48.172639954477205,5073
[2.0464647],-47.25601027275161,5073
[2.0762627],-39.532012171300444,5073
[2.1060605],-40.053787615444406,5073
[2.1358585],-55.63963559538304,5073
[2.1656566],-47.00578587477674,5073
[2.1954546],-48.52429223655657,5073
[2.2252526],-50.96811594645862,5073
[2.2550504],-46.59875611971587,5073
[2.2848485],-55.08976222211818,5073
[2.3146465],-53.71514110072003,5073
[2.3444445],-55.21869452993098,5073
[2.3742423],-53.333242327605724,5073
[2.4040403],-54.033104778613904,5073
[2.4338384],-58.86465505700415,5073
[2.4636364],-57.20998828044829,5073
[2.4934344],-55.57847028270942,5073
[2.5232322],-62.15369533140905,5073
[2.5530303],-64.45734426881663,5073
[2.5828283],-62.259260175331406,5073
[2.6126263],-64.14450518530457,5073
[2.6424243],-63.96714113240691,5073
[2.6722221],-68.59061017805237,5073
[2.7020202],-66.30323232693937,5073
[2.7318182],-70.05356177148322,5073
[2.7616162],-71.45758547104305,5073
[2.791414],-71.95037718599734,5073
[2.821212],-71.96486803300033,5073
[2.85101],-75.83716186772241,5073
[2.880808],-103.33008742519478,5073
[2.9106061],-84.15783611726086,5073
[2.940404],-78.04562463597016,5073
[2.970202],-498.00666707694484,5073
[3.],-86.95071378003543,5073
[2.2848485],-50.2045511190171,5073
[2.3146465],-69.8787811673469,5073
[2.3444445],-48.10145835550365,5073
[2.3742423],-55.94575221384448,5073
[2.4040403],-56.908378938501414,5073
[2.4338384],-58.49040527243671,5073
[2.4636364],-61.05957554219197,5073
[2.4934344],-61.190510165631096,5073
[2.5232322],-58.39705415183314,5073
[2.5530303],-65.83092507158028,5073
[2.5828283],-73.2324258591278,5073
[2.6126263],-63.10141491353731,5073
[2.6424243],-68.48894572109211,5073
[2.6722221],-63.025523389703594,5073
[2.7020202],-66.61627939093476,5073
[2.7318182],-74.12251563929202,5073
[2.7616162],-71.27938038154345,5073
[2.791414],-73.45165797277251,5073
[2.821212],-70.68833910487352,5073
[2.85101],-77.95571471929138,5073
[2.880808],-79.71859005295664,5073
[2.9106061],-79.47271417593178,5073
[2.940404],-77.74897193509582,5073
[2.970202],-83.80053523481982,5073
[3.],-91.94696188189504,5073
[2.2848485],-49.71605762101768,5073
[2.3146465],-56.1687422271694,5073
[2.3444445],-51.71127938316239,5073
[2.3742423],-52.394201067092396,5073
[2.4040403],-58.40484760913934,5073
[2.4338384],-57.61114964092855,5073
[2.4636364],-60.81631666567676,5073
[2.4934344],-64.38230428613855,5073
[2.5232322],-58.59631536526859,5073
[2.5530303],-59.0619798270503,5073
[2.5828283],-63.371778897775876,5073
[2.6126263],-65.13604376499138,5073
[2.6424243],-62.552999308635655,5073
[2.6722221],-65.73624560952611,5073
[2.7020202],-66.34198202971362,5073
[2.7318182],-62.600507963051335,5073
[2.7616162],-73.18720117060967,5073
[2.791414],-68.93306081877803,5073
[2.821212],-70.71071422237888,5073
[2.85101],-72.39643648914452,5073
[2.880808],-83.48568820006942,5073
[2.9106061],-76.81836023612081,5073
[2.940404],-82.82287811669167,5073
[2.970202],-88.29224801972185,5073
[3.],-101.11544745871342,5073
[2.2848485],-51.539342093968685,5073
[2.3146465],-48.13170877738919,5073
[2.3444445],-55.41536757096489,5073
[2.3742423],-53.89464258455582,5073
[2.4040403],-55.343904386672726,5073
[2.4338384],-60.59390287507135,5073
[2.4636364],-57.15278751016744,5073
[2.4934344],-62.59994209823452,5073
[2.5232322],-62.34467923438655,5073
[2.5530303],-62.554061488864924,5073
[2.5828283],-61.161513458654625,5073
[2.6126263],-61.83223619475435,5073
[2.6424243],-65.00556604711537,5073
[2.6722221],-71.6937443440705,5073
[2.7020202],-63.71106088901045,5073
[2.7318182],-100.05236124504776,5073
[2.7616162],-70.3125345983483,5073
[2.791414],-79.68079522535444,5073
[2.821212],-70.46241076250118,5073
[2.85101],-71.47143862461463,5073
[2.880808],-76.2887877650607,5073
[2.9106061],-76.37667743887341,5073
[2.940404],-82.95952411108726,5073
[2.970202],-82.56599355550857,5073
[3.],-84.88803057182162,5073
[2.2848485],-50.6469251752884,5073
[2.3146465],-52.395776622418204,5073
[2.3444445],-52.4823013843086,5073
[2.3742423],-52.20967119621263,5073
[2.4040403],-54.74721834408155,5073
[2.4338384],-53.24775981105347,5073
[2.4636364],-58.526786103536,5073
[2.4934344],-55.65577275650224,5073
[2.5232322],-60.28243922066852,5073
[2.5530303],-61.33407000749956,5073
[2.5828283],-86.12600811321288,5073
[2.6126263],-65.57681204075617,5073
[2.6424243],-64.99849153648778,5073
[2.6722221],-60.238002812041216,5073
[2.7020202],-63.590765992753944,5073
[2.7318182],-67.61353438449196,5073
[2.7616162],-93.08501013236815,5073
[2.791414],-71.55657965761289,5073
[2.821212],-74.12553538045162,5073
[2.85101],-81.8458689499897,5073
[2.880808],-75.01507263835086,5073
[2.9106061],-416.12346726536606,5073
[2.940404],-75.05522262366269,5073
[2.970202],-89.95423666762304,5073
[3.],-89.78072463823149,5073
[2.2848485],-57.83087896945782,5073
[2.3146465],-51.62101323610738,5073
[2.3444445],-54.994582004411214,5073
[2.3742423],-54.46710244718607,5073
[2.4040403],-65.51822418672866,5073
[2.4338384],-54.52850740169385,5073
[2.4636364],-59.39986506182009,5073
[2.4934344],-56.33870914345853,5073
[2.5232322],-56.1369880327544,5073
[2.5530303],-60.993769400445416,5073
[2.5828283],-57.3572280854669,5073
[2.6126263],-59.740256170795,5073
[2.6424243],-66.33110030125911,5073
[2.6722221],-66.19218486986405,5073
[2.7020202],-71.8800380145858,5073
[2.7318182],-72.45234412381038,5073
[2.7616162],-91.20550990438551,5073
[2.791414],-73.7754672573466,5073
[2.821212],-77.99029721924633,5073
[2.85101],-75.10602683649785,5073
[2.880808],-73.74995221430957,5073
[2.9106061],-77.14992835722889,5073
[2.940404],-76.25363962183889,5073
[2.970202],-92.88324533529277,5073
[3.],-474.42327606232055,5073
[2.2848485],-50.81039591952235,5073
[2.3146465],-46.18981466737997,5073
[2.3444445],-48.87154293409449,5073
[2.3742423],-53.2610610556286,5073
[2.4040403],-56.31804908884996,5073
[2.4338384],-57.44787696880639,5073
[2.4636364],-68.47536190753465,5073
[2.4934344],-58.35117556323631,5073
[2.5232322],-60.97805628773213,5073
[2.5530303],-62.56945334653863,5073
[2.5828283],-60.2473021482972,5073
[2.6126263],-63.87032746845182,5073
[2.6424243],-61.964211763015506,5073
[2.6722221],-61.932512149072274,5073
[2.7020202],-396.01719697949255,5073
[2.7318182],-73.03982890691572,5073
[2.7616162],-73.34683541326088,5073
[2.791414],-69.03307771234734,5073
[2.821212],-75.97914954275748,5073
[2.85101],-78.70700376565904,5073
[2.880808],-79.20603511430774,5073
[2.9106061],-76.4102120303318,5073
[2.940404],-89.20634304506875,5073
[2.970202],-85.07584304216032,5073
[3.],-88.43652794809007,5073
[2.2848485],-55.65066516032594,5073
[2.3146465],-55.88167754736526,5073
[2.3444445],-51.908813177043825,5073
[2.3742423],-48.87757616533532,5073
[2.4040403],-49.981952588574465,5073
[2.4338384],-56.685894356919874,5073
[2.4636364],-60.625839850497634,5073
[2.4934344],-66.7801218217415,5073
[2.5232322],-59.232383102191996,5073
[2.5530303],-60.463777365004276,5073
[2.5828283],-60.92351422882706,5073
[2.6126263],-61.29575095846466,5073
[2.6424243],-62.26700400263568,5073
[2.6722221],-68.62298745557631,5073
[2.7020202],-69.42559675787078,5073
[2.7318182],-66.99899531186783,5073
[2.7616162],-67.0642235226188,5073
[2.791414],-71.63002949936755,5073
[2.821212],-75.83508609365067,5073
[2.85101],-88.25526110658743,5073
[2.880808],-77.48787416477882,5073
[2.9106061],-80.38608288111313,5073
[2.940404],-90.61764418876011,5073
[2.970202],-86.41774739323867,5073
[3.],-81.31979633771088,5073
[2.2848485],-49.876636835578495,5073
[2.3146465],-48.251246455935686,5073
[2.3444445],-61.400099170320544,5073
[2.3742423],-51.63403064045278,5073
[2.4040403],-57.62675022540585,5073
[2.4338384],-52.02352011528351,5073
[2.4636364],-63.1817175097068,5073
[2.4934344],-55.768903462402726,5073
[2.5232322],-56.979715724068285,5073
[2.5530303],-71.76222828415379,5073
[2.5828283],-83.94761050700497,5073
[2.6126263],-64.26926808302156,5073
[2.6424243],-72.6445488127429,5073
[2.6722221],-63.416301641999326,5073
[2.7020202],-67.73437031582888,5073
[2.7318182],-66.00060903117222,5073
[2.7616162],-68.24921856220215,5073
[2.791414],-70.81177752861493,5073
[2.821212],-74.00300373427386,5073
[2.85101],-77.06183284154815,5073
[2.880808],-73.42414180288215,5073
[2.9106061],-83.19008396505637,5073
[2.940404],-86.43960220261067,5073
[2.970202],-75.68989642450876,5073
[3.],-90.89877712118448,5073
[2.2848485],-50.28278506371154,5073
[2.3146465],-50.46618877669755,5073
[2.3444445],-54.21404594775955,5073
[2.3742423],-51.973627314933566,5073
[2.4040403],-54.253496079683,5073
[2.4338384],-55.836269335869474,5073
[2.4636364],-62.70911655677186,5073
[2.4934344],-58.11215811730295,5073
[2.5232322],-55.85122363477446,5073
[2.5530303],-64.11320305470073,5073
[2.5828283],-103.26090711339647,5073
[2.6126263],-65.87017616132451,5073
[2.6424243],-62.98435727393426,5073
[2.6722221],-63.53412443147299,5073
[2.7020202],-62.31794736260623,5073
[2.7318182],-73.95987176823363,5073
[2.7616162],-67.65591065486336,5073
[2.791414],-69.48865241737127,5073
[2.821212],-126.02520829530935,5073
[2.85101],-76.03098272596466,5073
[2.880808],-80.96592389922837,5073
[2.9106061],-79.89228661736317,5073
[2.940404],-81.18493483747311,5073
[2.970202],-445.7040231084888,5073
[3.],-84.43228232856556,5073
[2.2848485],-56.70104198604973,5073
[2.3146465],-49.59823362230908,5073
[2.3444445],-50.90788566521644,5073
[2.3742423],-56.074808116061185,5073
[2.4040403],-54.38751419766363,5073
[2.4338384],-53.69634346826063,5073
[2.4636364],-66.26387350963384,5073
[2.4934344],-59.979843006147206,5073
[2.5232322],-54.9293121916572,5073
[2.5530303],-63.581516270197056,5073
[2.5828283],-73.72719776806748,5073
[2.6126263],-64.50666871878167,5073
[2.6424243],-61.1236371623564,5073
[2.6722221],-76.26329951098049,5073
[2.7020202],-66.03342279199042,5073
[2.7318182],-78.28239082864248,5073
[2.7616162],-68.2895057736518,5073
[2.791414],-66.83440357605429,5073
[2.821212],-101.35562384783464,5073
[2.85101],-73.24039770592795,5073
[2.880808],-85.49299308340527,5073
[2.9106061],-84.30180040302665,5073
[2.940404],-79.95249983235286,5073
[2.970202],-97.56979419650922,5073
[3.],-80.98808413033461,5073
[2.2848485],-52.338494229928344,5073
[2.3146465],-52.868449535162654,5073
[2.3444445],-51.76723514666501,5073
[2.3742423],-54.34017541180079,5073
[2.4040403],-51.867522103691186,5073
[2.4338384],-58.8078150650943,5073
[2.4636364],-57.37161813383157,5073
[2.4934344],-54.5038214351067,5073
[2.5232322],-57.82261069824444,5073
[2.5530303],-61.89065780709856,5073
[2.5828283],-65.48977480778784,5073
[2.6126263],-59.399162964385155,5073
[2.6424243],-60.93566723731218,5073
[2.6722221],-77.99703966210248,5073
[2.7020202],-73.86538532815568,5073
[2.7318182],-66.80831298135264,5073
[2.7616162],-74.5197830315984,5073
